0,1,2,3,4,5,6,7
12,R 99 999,R 1 981 p/m,2011 Fiat 500 1.2,Used Car85 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
16,R 99 999,R 1 981 p/m,2012 Hyundai Atos Prime 1.1 GLS,Used Car130 000 kmManual,CITTON CARS GEZINA,"Gezina, Pretoria",km from you?
9,R 99 995,R 1 981 p/m,2014 Ford Figo 1.4 Ambiente,Used Car177 000 kmManual,INSPECTACAR GEZINA,"Capital Park, Pretoria",km from you?
19,R 99 990,R 1 981 p/m,2006 Volkswagen Citi 1.4i,Used Car93 778 kmManual,VARNFIELD EN MARITZ MOTORS,"Pretoria North, Pretoria",km from you?
19,R 99 990,R 1 981 p/m,2005 Toyota Corolla 160i GLS,Used Car213 884 kmManual,VARNFIELD EN MARITZ MOTORS,"Pretoria North, Pretoria",km from you?
15,R 99 950,R 1 980 p/m,2012 Mazda Mazda3 Sedan 1.6 Dynamic,Used Car203 039 kmManual,AUTO VIEW PRE OWNED BOKSBURG,"Ravenswood, Boksburg",km from you?
19,R 99 950,R 1 980 p/m,2010 Hyundai i30 1.6 GLS,Used Car200 000 kmManual,CARBON BLACK AUTO,"Paulshof, Sandton",km from you?
11,R 99 950,R 1 980 p/m,2012 Hyundai i10 1.1 GLS,Used Car157 612 kmManual,SA MOTORCORP,"Bordeaux, Randburg",km from you?
6,R 99 950,R 1 980 p/m,2005 Mercedes-Benz A-Class A170 Avantgarde Auto,Used Car73 000 kmAutomatic,ABSOLUT AUTO,"Northcliff, Randburg",km from you?
4,R 99 950,R 1 980 p/m,2012 Volkswagen Polo Sedan 1.4 Trendline,Used Car162 000 kmManual,ABSOLUT AUTO,"Northcliff, Randburg",km from you?
15,R 99 950,R 1 980 p/m,2008 Volvo S40 2.0,Used Car172 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
13,R 99 950,R 1 980 p/m,2006 Renault Modus 1.4 Expression,Used Car176 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
13,R 99 950,R 1 980 p/m,2006 Volkswagen Golf 1.6l Caddy,Used Car154 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
16,R 99 950,R 1 980 p/m,2012 Hyundai i10 1.1 GLS,Used Car160 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
14,R 99 950,R 1 980 p/m,2012 Nissan Micra 1.2 Acenta,Used Car218 000 kmManual,PRISTINE MOTORS,"De Deur, Vereeniging",km from you?
10,R 99 950,R 1 980 p/m,2008 Daihatsu Terios 1.5,Used Car221 000 kmManual,SA MOTORCORP,"Bordeaux, Randburg",km from you?
20,R 99 900,R 1 979 p/m,1992 Mercedes-Benz E-Class 230E W123,Used Car214 845 kmManual,STRUBEN STREET MOTORS,"Mayville, Pretoria",km from you?
17,R 99 900,R 1 979 p/m,2011 Nissan Navara 2.5dCi KingCab 4x4 XE,Used Car236 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 99 900,R 1 979 p/m,2011 BMW X3 xDrive20d,Used Car197 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
15,R 99 900,R 1 979 p/m,2017 Tata Indica 1.4 LGi,Used Car47 362 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",km from you?
14,R 99 900,R 1 979 p/m,2004 Mercedes-Benz SLK SLK 200 Kompressor Auto,Used Car245 000 kmAutomatic,AUTOCITY KIA NIGEL,"Nigel Central, Nigel",km from you?
19,R 99 900,R 1 979 p/m,2012 Smart Fortwo 1.0t Cabrio passion,Used Car116 400 kmAutomatic,AUTOCITY MAHINDRA HEIDELBERG,"Heidelberg Industrial, Heidelberg",km from you?
20,R 99 900,R 1 979 p/m,1992 Mercedes-Benz E-Class 230E W123,Used Car214 845 kmManual,STRUBEN STREET MOTORS,"Mayville, Pretoria",km from you?
17,R 99 900,R 1 979 p/m,2011 Nissan Navara 2.5dCi KingCab 4x4 XE,Used Car236 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 99 900,R 1 979 p/m,2011 BMW X3 xDrive20d,Used Car197 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 99 900,R 1 979 p/m,2011 Honda Jazz 1.3 Comfort Auto,Used Car110 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
11,R 99 900,R 1 979 p/m,2015 Renault Sandero 66kW Turbo Expression (Aircon),Used Car149 316 kmManual,KARAM MOTORS,"Fontainebleau, Randburg",km from you?
17,R 99 900,R 1 979 p/m,2012 Renault Sandero 1.6 Expression,Used Car133 921 kmManual,LISACARS,"Wilbart, Germiston",km from you?
17,R 99 900,R 1 979 p/m,2013 Suzuki Alto 1.0 GLX,Used Car85 182 kmManual,LISACARS,"Wilbart, Germiston",km from you?
6,R 99 900,R 1 979 p/m,2002 Land Rover Range Rover 4.6 VOGUE Auto,Used Car319 000 kmAutomatic,SMT MOTORS,"Linden, Randburg",km from you?
17,R 99 900,R 1 979 p/m,2015 Peugeot 208 5-Door 1.0 Access,Used Car67 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",km from you?
11,R 99 900,R 1 979 p/m,2014 Chevrolet Spark 1.2 LS,Used Car121 000 kmManual,BMW SANDTON,"Sandton Central, Sandton",km from you?
20,R 99 900,R 1 979 p/m,1998 Ford Laser Tracer 1.3,Used Car62 031 kmManual,MIT MAK MOTORS GERRIT MARITZ,"Pretoria North, Pretoria",km from you?
12,R 99 900,R 1 979 p/m,2014 Honda Ballade 1.5 Elegance Auto,Used Car246 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 99 900,R 1 979 p/m,2011 Volkswagen Polo Vivo 5-Door 1.4,Used Car120 000 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
16,R 99 900,R 1 979 p/m,2008 Mazda BT-50 3.0CRD Freestyle Cab SLX,Used Car459 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
10,R 99 900,R 1 979 p/m,2010 Hyundai i10 1.1 GLS,Used Car142 000 kmManual,KOLEV MOTORS,"Edenvale Central, Edenvale",km from you?
9,R 99 900,R 1 979 p/m,2018 Datsun Go 1.2 Lux,Used Car45 257 kmManual,ANGELS MOTOR GROUP,"Randjespark, Midrand",km from you?
15,R 99 900,R 1 979 p/m,2012 Chevrolet Cruze Sedan 1.8 LS,Used Car132 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 99 900,R 1 979 p/m,2012 Hyundai i10 1.1 GLS,Used Car117 800 kmManual,JEEP FIAT ALFA ROMEO MENLYN,"Newlands, Pretoria",km from you?
18,R 99 900,R 1 979 p/m,2013 Honda Brio Hatch 1.2 Trend,Used Car146 000 kmManual,LIONS OF JUDAH,"Montana Park, Pretoria",km from you?
16,R 99 900,R 1 979 p/m,2010 Hyundai Getz 1.4 GL High-Spec,Used Car133 825 kmManual,LIONS OF JUDAH,"Montana Park, Pretoria",km from you?
15,R 99 900,R 1 979 p/m,2017 Tata Indica 1.4 LGi,Used Car47 362 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",km from you?
11,R 99 900,R 1 979 p/m,2015 Renault Sandero 66kW Turbo Expression (Aircon),Used Car149 316 kmManual,KARAM MOTORS,"Fontainebleau, Randburg",km from you?
11,R 99 900,R 1 979 p/m,2014 Chevrolet Spark 1.2 LS,Used Car121 000 kmManual,BMW SANDTON,"Sandton Central, Sandton",km from you?
17,R 99 900,R 1 979 p/m,2015 Peugeot 208 5-Door 1.0 Access,Used Car67 000 kmManual,EBK AUTO DEALERS BRAAMFONTEIN,"Vrededorp, Johannesburg",km from you?
15,R 99 900,R 1 979 p/m,2012 Chevrolet Cruze Sedan 1.8 LS,Used Car132 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 99 900,R 1 979 p/m,2012 Hyundai i30 1.6 Premium,Used Car208 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
13,R 99 900,R 1 979 p/m,2012 Mazda Mazda2 Hatch 1.5 Dynamic,Used Car214 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
14,R 99 900,R 1 979 p/m,2012 Renault Clio 1.6 Dynamique,Used Car134 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
9,R 99 900,R 1 979 p/m,2011 Volkswagen Polo Vivo 3-Door 1.4,Used Car188 000 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
16,R 99 900,R 1 979 p/m,2010 Nissan X-Trail 2.5 SE,Used Car208 280 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
15,R 99 900,R 1 979 p/m,2010 Audi A5 Coupe 2.0T Auto,Used Car230 882 kmAutomatic,CHICANE AUTO,"Windsor West, Randburg",km from you?
16,R 99 900,R 1 979 p/m,2012 Audi A4 1.8T Ambition,Used Car171 445 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
16,R 99 900,R 1 979 p/m,2011 BMW 3 Series 320i,Used Car216 000 kmManual,CHICANE AUTO,"Windsor West, Randburg",km from you?
16,R 99 900,R 1 979 p/m,2008 Kia Rio 1.4 5-Door Auto,Used Car80 800 kmAutomatic,CHICANE AUTO,"Windsor West, Randburg",km from you?
12,R 99 900,R 1 979 p/m,2011 Ford Bantam 1.6I Xlt,Used Car181 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 99 900,R 1 979 p/m,2009 Mitsubishi Outlander 2.4 GLS,Used Car194 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 99 900,R 1 979 p/m,2006 Toyota RAV4 2.0 VX,Used Car194 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 99 900,R 1 979 p/m,2011 Nissan X-Trail 2.0 XE,Used Car177 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
17,R 99 900,R 1 979 p/m,2006 Toyota RAV4 2.0 GX,Used Car235 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
19,R 99 900,R 1 979 p/m,2014 Renault Sandero 66kW Turbo Dynamique,Used Car192 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
19,R 99 900,R 1 979 p/m,2014 Ford Figo 1.4TDCi Ambiente,Used Car129 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
16,R 99 900,R 1 979 p/m,2016 Chevrolet Spark 1.2,Used Car107 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
18,R 99 900,R 1 979 p/m,2009 Mitsubishi Outlander 2.4 GLS,Used Car194 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 99 900,R 1 979 p/m,2011 Ford Bantam 1.6I Xlt,Used Car181 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 99 900,R 1 979 p/m,2006 Toyota RAV4 2.0 VX,Used Car194 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
11,R 99 900,R 1 979 p/m,2017 Datsun Go 1.2 Lux,Used Car94 000 kmManual,F&J Car Sales,"Vereeniging Central, Vereeniging",km from you?
16,R 99 900,R 1 979 p/m,2015 Volkswagen Polo Vivo Maxx 1.6,Used Car104 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
19,R 99 900,R 1 979 p/m,2010 Mahindra Scorpio 2.6 Turbo 7-Seater,Used Car196 159 kmManual,EASY AUTO FIN (PTY) LTD,"Vereeniging Central, Vereeniging",km from you?
16,R 99 900,R 1 979 p/m,2009 Mahindra Scorpio 2.6 Turbo GLX 7-Seater,Used Car236 000 kmManual,LIONS OF JUDAH,"Montana Park, Pretoria",km from you?
17,R 99 900,R 1 979 p/m,1999 Toyota Land Cruiser Prado GX V6 Auto,Used Car321 000 kmAutomatic,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
16,R 99 900,R 1 979 p/m,2015 Ford Figo 1.4 Ambiente,Used Car130 085 kmManual,AURINIA MOTORS,"Silverton, Pretoria",km from you?
17,R 99 900,R 1 979 p/m,2012 Mazda Mazda3 Sedan 1.6 Original,Used Car225 000 kmManual,AURINIA MOTORS,"Silverton, Pretoria",km from you?
15,R 99 900,R 1 979 p/m,2006 Nissan Murano 3.5,Used Car248 000 kmAutomatic,CINZACO AUTO VAAL,"Duncanville, Vereeniging",km from you?
19,R 99 900,R 1 979 p/m,2018 Renault Kwid 1.0 Dynamique,Used Car111 000 kmManual,KOOS AND MIKE USED CARS,"Vanderbijlpark CW 4, Vanderbijlpark",km from you?
19,R 99 900,R 1 979 p/m,2013 Honda Jazz 1.3 Comfort Auto,Used Car225 900 kmAutomatic,LIONS OF JUDAH,"Montana Park, Pretoria",km from you?
17,R 99 800,R 1 977 p/m,2015 Peugeot 107 1.0 Urban,Used Car127 000 kmManual,CINZACO AUTO VAAL,"Duncanville, Vereeniging",km from you?
7,R 99 000,R 1 961 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car153 443 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
8,R 99 000,R 1 961 p/m,2012 Mercedes-Benz Vito 113 CDI Panel Van,Used Car192 600 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
12,R 99 000,R 1 961 p/m,2011 Subaru XV 2.0R Auto,Used Car201 614 kmAutomatic,KARAM MOTORS,"Fontainebleau, Randburg",km from you?
18,R 99 000,R 1 961 p/m,1963 Renault Caravelle 1.1,Used Car123 456 kmAutomatic,CLASSIC CARS ONLINE,"Alberton North, Alberton",km from you?
6,R 99 000,R 1 961 p/m,2013 Ford Figo 1.4 Ambiente,Used Car108 563 kmManual,MAZDA MIDRAND,"Randjespark, Midrand",km from you?
15,R 98 900,R 1 959 p/m,2008 Nissan X-Trail 2.5 SEL Auto,Used Car163 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
10,R 98 900,R 1 959 p/m,2010 Ford Fiesta 1.6 5-Door Ambiente,Used Car167 789 kmManual,AUTO VISION,"Annlin, Pretoria",km from you?
13,R 97 900,R 1 940 p/m,2016 Chevrolet Spark 1.2 LS,Used Car185 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 97 900,R 1 940 p/m,2011 Renault Scenic 1.9dCi Dynamique,Used Car210 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
17,R 97 900,R 1 940 p/m,2012 Jeep Compass 2.0L Limited,Used Car145 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 97 900,R 1 940 p/m,2014 Nissan Almera 1.5 Acenta,Used Car161 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
9,R 95 000,R 1 882 p/m,2016 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car247 753 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
18,R 95 000,R 1 882 p/m,2005 Toyota Camry 2.4 XLi,Used Car270 500 kmManual,Private Individual Seller,"Centurion Central, Centurion",km from you?
20,R 95 000,R 1 882 p/m,2009 Mercedes-Benz C-Class C200 Kompressor Classic Auto,Used Car263 500 kmAutomatic,Private Individual Seller,"Pretoria Central, Pretoria",km from you?
9,R 95 000,R 1 882 p/m,2006 MINI Convertible Cooper S,Used Car121 818 kmManual,Private Individual Seller,"Waverley, Pretoria",km from you?
10,R 94 950,R 1 881 p/m,2009 BMW X3 xDrive30d,Used Car284 000 kmAutomatic,SA MOTORCORP,"Bordeaux, Randburg",km from you?
18,R 94 900,R 1 880 p/m,2015 Ford Fiesta 5-Door 1.0T Trend Auto,Used Car75 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 94 900,R 1 880 p/m,2011 Ford Focus 2.0TDCi 5-Door Si,Used Car119 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 94 900,R 1 880 p/m,2013 Opel Astra Hatch 1.6 Essentia,Used Car165 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
16,R 94 900,R 1 880 p/m,2014 Opel Corsa 1.4 Essentia,Used Car171 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
17,R 94 900,R 1 880 p/m,2015 Volkswagen up! take up! 3-Door 1.0,Used Car190 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
13,R 94 900,R 1 880 p/m,2011 Ford Focus 2.0TDCi 5-Door Si,Used Car119 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 94 900,R 1 880 p/m,2013 Opel Astra Hatch 1.6 Essentia,Used Car165 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
10,R 94 900,R 1 880 p/m,2003 Mercedes-Benz Vito 112 CDI,Used Car166 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 94 900,R 1 880 p/m,2013 Hyundai Accent 1.6 GLS Auto,Used Car222 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 94 900,R 1 880 p/m,2013 Volkswagen Polo 1.4 Comfortline,Used Car112 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
13,R 94 900,R 1 880 p/m,2011 Nissan X-Trail 2.0 XE,Used Car272 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 94 900,R 1 880 p/m,2022 Daihatsu Terios 1.5,Used Car222 800 kmManual,AUTO VISION,"Annlin, Pretoria",km from you?
7,R 94 000,R 1 862 p/m,2019 Nissan Almera 1.5 Acenta Auto,Used Car135 582 kmAutomatic,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
8,R 93 000,R 1 842 p/m,2019 Renault Kwid 1.0 Dynamique,Used Car58 819 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
14,R 92 900,R 1 840 p/m,2016 Tata Super Ace 1.4TD DLE,Used Car100 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
18,R 92 900,R 1 840 p/m,2009 Mitsubishi Outlander 2.4 GLX,Used Car310 000 kmAutomatic,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
14,R 92 900,R 1 840 p/m,2014 Suzuki Swift Hatch 1.2 GL,Used Car150 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
12,R 92 900,R 1 840 p/m,2013 GWM H5 2.4 4x4 Lux,Used Car174 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
8,R 92 000,R 1 823 p/m,2013 Toyota Etios Sedan 1.5 Xs,Used Car161 582 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
18,R 91 900,R 1 821 p/m,2007 Mercedes-Benz C-Class C200 Elegance Auto,Used Car243 000 kmAutomatic,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
16,R 91 900,R 1 821 p/m,2015 Renault Sandero Stepway 66kW Turbo,Used Car287 000 kmManual,CARZUKA - SANDTON CITY,"Sandton Central, Sandton",km from you?
18,R 91 900,R 1 821 p/m,2016 Suzuki Splash 1.2 GA,Used Car101 000 kmManual,CARZUKA - EASTGATE SHOPPING CENTRE,"Bedfordview, Bedfordview",km from you?
7,R 90 000,R 1 783 p/m,2015 Volkswagen Polo Vivo Sedan 1.4 Conceptline,Used Car188 536 kmManual,S4 AUTO BOKSBURG,"Beyers Park, Boksburg",km from you?
20,R 89 990,R 1 783 p/m,2006 Peugeot 407 2.0 ST Comfort,Used Car157 028 kmManual,I&S MOTORS,"De Deur, Vereeniging",km from you?
10,R 89 950,R 1 782 p/m,2006 Hyundai Atos Prime 1.1 GLS Auto,Used Car74 983 kmAutomatic,SA MOTORCORP,"Bordeaux, Randburg",km from you?
10,R 89 950,R 1 782 p/m,2011 Ford Figo 1.4TDCi Ambiente,Used Car132 755 kmManual,SA MOTORCORP 2,"Blairgowrie, Randburg",km from you?
14,R 89 950,R 1 782 p/m,2010 Ford Fiesta 5-door 1.4 Ambiente,Used Car200 000 kmManual,PINNACLE CARS CC,"Kensington B, Randburg",km from you?
18,R 89 900,R 1 781 p/m,2006 Toyota Yaris 1.0 T1 3-Door,Used Car165 667 kmManual,STRUBEN STREET MOTORS,"Mayville, Pretoria",km from you?
14,R 89 900,R 1 781 p/m,2008 Hyundai H-100 Bakkie 2.6D Deck,Used Car295 000 kmManual,EBK AUTO DEALERS LA ROCHELLE,"Vrededorp, Johannesburg",km from you?
